0		0.0000004964		0.0000000000		0.0000004964
0.1000000000		0.0509786751		0.0509791693		0.0000004942
0.2000000000		0.1078333791		0.1078334166		0.0000000375
0.3000000000		0.1764385690		0.1764381325		0.0000004365
0.4000000000		0.2626697474		0.2626693308		0.0000004166
0.5000000000		0.3724039593		0.3724039593		0.0000000000
0.6000000000		0.5115197919		0.5115202067		0.0000004148
0.7000000000		0.6858973747		0.6858978075		0.0000004328
0.8000000000		0.9014183794		0.9014183423		0.0000000370
0.9000000000		1.1639660200		1.1639655341		0.0000004858
1.0000000000		1.4794250527		1.4794255386		0.0000004859
